Date LocalTime,Date Comment,Activity Description,Activity Scale,Additional Details,References
1889-12-15,1889 December,Small flood noted in upper Wangaehu River,3,Newspaper report of small flood and discoloration of river.,Wanganui Chronicle 6.12.1889
1891-01-15,1891 January,Dense smoke was coming from the crater,1,"An account of an ascent, its reported as Ruapehu, but may be Ngauruhoe ?",Wanganui Chronicle 23.1.1891
1895-03-10,,"Steam & ash eruption, flood in Wangaehu River which latter became useable for stock",5,"Steam column 6000ft, Whangaehu flooded, also Mangtoetoenui and Manga-nui-a-te-Ao and Whanganui River . Crater Lake reduced in size. Ashfalls","Evening Post 11.3.1895, Wanganui Chronicle 14.3.1895, Fielding Star 16.3.1895, Wanganui Herald 16.3.1895, Wanganui Herald 22.3.1895, Otago Witness 1.5.1907, Otago Witness 5.6.1907, Thomson 1926, Cowan 1927, Reed 1945, Gregg 1960, Illustrated Australian News, Evening Post 12.5.1936"
1895-03-14,,Explosive activity from crater,3,An account from an ascent.,Star 19 .3.1895
1895-03-19,1895 March,Activity continues,2,"An account on an ascent, unable to see the lake as it is reduced in size, steam and discoloured snow","Wanganui Herald 22.3.1895, Fielding Star 19.3.1895, "
1897-08-19,1897 August,A dark smoke from Ruapehu,1,"Summary telegram from Taupo, comments Ruapehu emitting dark smoke.",Poverty Bay Herald 19.8.1897
1897-09-30,September1897 ,Eruptive activity in lake,3,"Report of an ascent, Wangaehu Glacier was covered yellow and many holes, explosion heard",Poverty Bay Herald 30.9.1897
1897-12-10,1897 December,Eruption columns,3,"Three eruptions reported from Taupo, including smoke obscuring the view ","Evening Post 4.12.1897, Hawkes Bay Herald 6.12.1897, Nelson Evening Mail 10.12.1897"
1899-08-31,1899 August,"Eruption columns, umbrella shape",3,A tall steam column is reported (thousands of feet),"Poverty Bay Herald 31.8.1899, Wanganui Chronicle 4.9.1899, Evening Post 8.9.1899, Taranaki Herald 1.9.1899"
1903-01-27,1903 January,Rumblings and smoke reported,2,Steam columns and sounds,The Wanganui Herald 27.1.1903
1903-03-01,,"Eruption, flood in Whangaehu",3,A black cloud from the Crater Lake and a flood in the Whangaehu,Gregg 1960
1904-03-25,,Possible ashfall ?,3,Newspaper account that suggests there is ashfall from Ruapehu,"Feilding Star 25.3.1904, Poverty bay herald 26.3.1904"
1905-04-19,,Unusually active,2,"A short telegraph message, reports Ruapehu in eruption","Star 19.4.1905, Hawera Normanby Star 19.4.1905, Poverty Bay Herald 19.4.1905"
1906-03-15,,"Steam eruption
Mud and rocks ejected onto snow, no lahars reported",3," A report of an ascent confirms eruptive activity, and the impacts on the summit","Reed 1945, Gregg 1960, Northern Advocate 22.3.1906, Bush Advocate 22.3.1906, Nelson Evening Mail 28.3.1906, Evening Post 22.3.1906, Dominion 14.5.1936"
1907-02-28,1907 February,Crater Lake steaming,2,Immense volumes of steam for two to three days,"Gregg 1960, West Coast Times 28.2.1907, Hawera Normanby Star 1.3.1907, Speight 1908"
1907-04-15,,"Eruptions large enough to cover snow, avalanching/landslides, no lahars mentioned",3,"Several newspaper accounts of eruption affects, continued for some days. Possible started on the 10th, with largest events on 15th.  Collapse of Skate Glacier.","Evening Post 18.4.1907 Wanganui Herald 18.4.1907, Wanganui Herald 19.4.1907, Wanganui Herald 20.4.1907, Wanganui Herald 22.4.1907, Hawera Normanby Star 22.4.1907, Evening Post  23.4.1907, BOP Times 24.3.1907, Bush Advocate 26.4.1907, Bush Advocate 29.4.1907, Poverty Bay Herald 13.5.1907, Otago Witness 22.5.1907, Gregg 1960"
1907-07-16,1907 July (16-22),Crater Lake steaming,3,Newspaper accounts for 19 July indicate further activity. ,"Gregg 1960, Nelson Evening Mail 19.7.1907, Evening Post 19.7.1907, Hawera Normanby Star 19.5.1907"
1907-07-17,1907 July (16-22),Crater Lake steaming,3,Newspaper accounts for 19 July indicate further activity. ,"Gregg 1960, Nelson Evening Mail 19.7.1907, Evening Post 19.7.1907, Hawera Normanby Star 19.5.1907"
1907-07-18,1907 July (16-22),Crater Lake steaming,3,Newspaper accounts for 19 July indicate further activity. ,"Gregg 1960, Nelson Evening Mail 19.7.1907, Evening Post 19.7.1907, Hawera Normanby Star 19.5.1907"
1907-07-19,1907 July (16-22),Crater Lake steaming,3,Newspaper accounts for 19 July indicate further activity. ,"Gregg 1960, Nelson Evening Mail 19.7.1907, Evening Post 19.7.1907, Hawera Normanby Star 19.5.1907"
1907-07-20,1907 July (16-22),Crater Lake steaming,3,Newspaper accounts for 19 July indicate further activity. ,"Gregg 1960, Nelson Evening Mail 19.7.1907, Evening Post 19.7.1907, Hawera Normanby Star 19.5.1907"
1907-07-21,1907 July (16-22),Crater Lake steaming,3,Newspaper accounts for 19 July indicate further activity. ,"Gregg 1960, Nelson Evening Mail 19.7.1907, Evening Post 19.7.1907, Hawera Normanby Star 19.5.1907"
1907-07-22,1907 July (16-22),Crater Lake steaming,3,Newspaper accounts for 19 July indicate further activity. ,"Gregg 1960, Nelson Evening Mail 19.7.1907, Evening Post 19.7.1907, Hawera Normanby Star 19.5.1907"
1908-03-18,1908 March,Minor activity ,3,"Newspaper accounts suggesting there has been activity, snow discoloured.","Feilding Star 18.3.1908, Feilding Star 24.3.1908"
1910-02-09,,Crater Lake steaming,2,Details Check for pre 8 Feb info   Activity is discredited by a climber,"Hawera Normanby Star 8.2.1910, Poverty Bay Herald 9.2.1910, Poverty Bay Herald 10.2.1910, Gregg 1960, Evening Post, 12.2.1910"
1918-06-29,,Steam eruption(s),2,"Steam columns observed, <10000 ft","Poverty Bay Herald 29.6.1918, Gregg 1960"
1921-10-01,,Steam eruption(s),2,"Steam ‘shot’, climbers report more active","Reed 1945, Gregg 1960, Dominion 5.10.1921, Ashburton Guardian 11.10.1921"
1925-02-03,,Eruptive activity and flooding in Wangaehu,3,Newspaper quote for activity and flooding  moderate phreatomagmatic eruption. Stillwell attributes flood to ice cave collapse.  ,"Newspaper 14.2.1925, Stillwell 1950, Gregg 1960 , RUA 70/11"
1934-06-15,1934 June,Crater Lake steaming,1,Newspaper report of activity in June and August. ,"Gregg 1960, Dominion 14.8.1934"
1934-08-11,,Steam eruption(s),1,"Steam column 300-700ft, change to lake colour","Dominion 14.8.1934, Evening Post 12.5.1936, Reed 1945, Gregg 1960"
1934-12-15,1934 December,Steam eruption(s),1,"Newspaper report of previous eruptive activity, no details of size/style.","Reed 1945, Gregg 1960, Dominion 30.5.1940"
1935-02-15,1935 February,Steam eruption(s),1,"Newspaper report of previous eruptive activity, no details of size/style","Reed 1945, Gregg 1960, Dominion 30.5.1940"
1936-05-09,,Moderate phreatomagmatic eruption,4,"Much of the summit snowfield covered with mud, 2-3000 tons ejected.","Evening Post 12.5.1936, Dominion 14.5.1936, TNP Report 1937, Reed 1945, Gregg 1960"
1940-04-20,1940  late-April,"Moderate phreatomagmatic eruption, lahar",4,"Mud and small stones thrown onto Whakapapa, Mangaturuturu and Whangaehu glaciers","Dominion 30.5.1940, Reed 1945, Gregg 1960, GNS file T20/502 what?"
1942-08-10,,Steam eruption(s) ,4, Reports that muds covering Girdlestone and Mangaehuhu Glacier,"Ohakune Times 11.8.1942, Gregg 1960"
1944-09-25,1944 late-September ,Steam eruption(s) ,4,"Shower of mud an stones, Dome to Cathedral Rocks. Letter 12.10.1944",GNS file T20/502
1944-10-15,1944 October,Steam eruption,3,Sourced by Reed from visitor book,"Reed 1945, Gregg 1960"
1945-03-08,,Small-moderate eruption(s),4,"Upper slopes covered with mud and ash, steam columns","Reed 1945, Evening Post 12.3.1945, Taihape Times 12.3.1945"
1945-03-09,,Strong steaming-eruption(s),3,"Various reports of activity, debris, dark blotches on snow","Johnston 1997, Taumaninui Press 22.3.1945"
1945-03-10,,Strong steaming-eruption(s),3,"Various reports of activity, debris on snow","Johnston 1997, Taumaninui Press 22.3.1945"
1945-03-14,,Strong steaming-eruption(s),3,"Various reports of activity, debris on snow","Johnston 1997, Taumaninui Press 22.3.1945"
1945-03-15,,"Stronger activity, maybe explosive",3,Descriptions of debris etc,"Reed 1945, Johnston 1997"
1945-03-19,,Lava cone observed in lake,2,Emergence of lava above lake,"Reed 1945, Gregg 1960"
1945-03-22,,Small scale explosions,3,Explosive activity,NZ Herald 22.3.1945
1945-03-26,,Cone destroyed by explosive activity,4,Eruption columns to 6-8000 ft,Reed 1945
1945-03-31,,Small scale explosive activity,3,Various reports from sources,"Reed 1945, Johnston 1997, Gregg 1960"
1945-04-01,,Small scale explosive activity,3,Various reports from sources,"Reed 1945, Johnston 1997, Gregg 1960"
1945-04-02,,Small scale explosive activity,3,Various reports from sources,"Reed 1945, Johnston 1997, Gregg 1960"
1945-04-15,,Small scale explosive activity,3,Various reports from sources,"Reed 1945, Johnston 1997, Gregg 1960"
1945-04-16,,Small scale explosive activity,3,Various reports from sources,"Reed 1945, Johnston 1997, Gregg 1960"
1945-05-05,,Ash on the snow,3,First evidence of further explosive activity,Dominion 10.5.1945
1945-05-07,,Island reappears in lake,2,First sighting of the lava dome again.,"Oliver 1945, Dominion 10.5.1945"
1945-05-08,,Explosive activity,3,Activity intensifing,"Oliver 1945, Dominion 10.5.1945"
1945-05-09,,"Stronger activity, explosive",3,"Strongest since March 1945, ash column(s)",Dominion 10.5.1945
1945-05-12,,Stronger activity,3,Ash columns,Dominion 14.5.1945
1945-05-13,,Explosive activity,3,Stronger activity,Dominion 14.5.1945
1945-05-14,,Incandescence and explosive activity,4,"Strong steam emission, then activity.",Dominion 15.5.1945
1945-06-17,,Small scale explosive activity,4,"Reports of ash columns, explosions and ash fall",Johnston 1997
1945-06-19,,Small scale explosive activity,4,"Reports of ash columns, explosions and ash fall",Johnston 1997
1945-06-20,,Small scale explosive activity,4,"Reports of ash columns, explosions and ash fall","Johnston 1997, NZ Herald 20.6.1945, Wanganui Herald 21.6.1945, Ohakune Times 22.6.1945"
1945-06-24,,Incandescence and explosive activity,4,"Explosive activity from the dome, ash falls","Johnston 1997, Wanganui Herald 25.6.1945, Ohakune Times 26.6.1945, Dominion 26.6.45"
1945-06-27,,Ash producing activity,4,Ashfalls,Johnston 1997
1945-06-29,,Ash producing activity,4,Ashfalls,"Johnston 1997, Wanganui Herald 29.6.1945"
1945-06-30,,Ash producing activity,4,Ashfalls,"Johnston 1997, Taranaki Herald 3.7.1945"
1945-07-01,,Incandescence and explosive activity,3,Explosive activity from the dome,"Johnston 1997, Gregg 1960, Oliver 1945"
1945-07-02,,Incandescence and explosive activity,3,Explosive activity from the dome,"Johnston 1997, Evening Post 3.7.1945, Wanganui Herald 5.7.1945, Dominion 3.7.1945"
1945-07-03,,Incandescence and explosive activity,3,Explosive activity from the dome,"Johnston 1997, Daily Telegraph 5.7.1945"
1945-07-04,,Incandescence and explosive activity,3,Explosive activity from the dome,"Oliver 1945, Daily Telegraph 5.7.1945, Evening Post 6.7.1945"
1945-07-19,,"Explosive activity, ash, incandescence",4,Active vent(s) forming in the lava intrusion,"Oliver 1945, Beck 1950, Johnston 1997, NZ Herald 20.7.1945"
1945-07-20,,"Explosive activity, ash, incandescence",5,Ash columns to 20000 ft,"Letter on T20/502, Johnston 1997"
1945-07-22,,"Explosive activity, ash, incandescence",2,"Lake now gone, lave dome growth",Johnston 1997
1945-07-23,,"Explosive activity, ash, incandescence",4,Rumblings and explosions,Waimarino Call 24.7.1945
1945-07-24,,"Explosive activity, ash, incandescence",4,"Ash falls, columns to 12000 ft",Waimarino Call 24.7.1945
1945-07-26,,"Explosive activity, ash, incandescence",4,Ash falls ,"Manawatu Daily Times 31.7.1945, Auckland Star 28.7.1945"
1945-07-27,,"Explosive activity, ash, incandescence",4,"Ash falls, columns to 5000 ft","Auckland Star 28.7.1945, Manawatu Daily Times 31.7.1945"
1945-07-31,,"Explosive activity, ash, incandescence",4,"Explosions, multiple vents active","Wanganui Chronicle 31.7.1945, Wanganui Herald 1.8.1945"
1945-08-02,,Explosive activity,4,Ash falls ,Johnston 1997
1945-08-03,,Explosive activity,4,Thick black ash emissions,Johnston 1997
1945-08-04,,Explosive activity,4,Ash falls,"Taranaki herald 7.8.1945, Dominion 8.8.1945"
1945-08-05,,Explosive activity,5,"Ashafalls, ash columns 10-12000 ft",Dominion 6.8.1945
1945-08-07,,Explosive activity,4,Ash columns 3-4000 ft,NZ Herald 8.8.1945
1945-08-08,,Explosive activity,4,Blocks forming craters in ice on Whakapapa Glacier,Letter to Dir. NZGS 8.8.1945
1945-08-11,,Explosive activity,4,"Ash columns 2-3000 ft, many observed.",Johnston 1997
1945-08-13,,Explosive activity,4,Minor explosions and ash laden steam,Johnston 1997
1945-08-14,,Explosive activity,4,“erupting normally”,Johnston 1997
1945-08-16,,Explosive activity,4,Increase in strength of activity,"Johnston 1977, Letter to Dir. NZGS"
1945-08-17,,Explosive activity,4,"Explosions, blocks and ash 800-1000 ft above vent","Johnston 1977, Letter to Dir. NZGS"
1945-08-20,,Explosive activity,5,"Explosions, ash columns 3-500 ft and larger to 12000 ft",Johnston 1997
1945-08-21,,Explosive activity,4,Electrical activity in 10000 ft columns,"Johnston 1997, Wanganui Herald 22.8.1945"
1945-08-22,,Explosive activity,4,"Explosive activity continues, many reports of ash fall issues.","Johnston 1997, Wanganui Herald 22.8.1945, Taihape Times 22.8.1945"
1945-08-23,,Explosive activity,5,"Ash columns to 20000 ft, blocks 1000 ft.",Johnston 1997
1945-08-24,,Explosive activity,5,Similar activity sustained,"Johnston 1997, Letter to Dir. NZGS"
1945-08-26,,Explosive activity,4,Ash falls continue,Johnston 1997
1945-08-27,,Explosive activity,4,"Small decline, activity continues",Johnston 1997
1945-08-29,,Explosive activity,4,Decline continues in level of activity,Johnston 1997
1945-08-31,,Explosive activity,4,Activity moderate with several explosions,"Johnston 1997, Letter to Dir. NZGS"
1945-09-01,,Explosive activity,4,Activity decreasing,"Johnston 1997, Letter to Dir. NZGS"
1945-09-03,,Ash emmisons ,4,Activity decreasing,Johnston 1997
1945-09-04,,Ash emmisons,4,Activity decreasing,Johnston 1997
1945-09-05,,Explosive activity,4,Ash columns,"Johnston 1997, Hawke's Bay  Herald-Tribune 5.9.45"
1945-09-07,,Explosive activity,4,"Ash columns, glow in column","Johnston 1997, Letter to Dir. NZGS"
1945-09-09,,"Larger single vent forming, strong explosions",5,"Columns to 20000 ft, blocks over 1000 ft","Beck 1950, Johnston 1997"
1945-09-10,,Explosive activity,4,Activity continues,Johnston 1997
1945-09-12,,Explosive activity,4,Activity continues,Johnston 1997
1945-09-13,,Explosive activity,4,Activity continues,Johnston 1997
1945-09-16,,Explosive activity,4,Activity continues,Johnston 1997
1945-09-17,,Explosive activity,4,Activity continues,Johnston 1997
1945-09-20,,Explosive activity,4,Activity continues,Johnston 1997
1945-09-21,,Explosive activity,4,"Activity continues, blocks to 500 ft",Johnston 1997
1945-09-27,,Explosive activity,4,"Activity continues, ash columns 9000 ft",Johnston 1997
1945-09-28,,Explosive activity,5,"Activity continues, ash columns 12000 ft, building shaken by airwaves","Johnston 1997, Wanganui Herald 28.9.1945"
1945-09-29,,Explosive activity,4,Activity continues,Johnston 1997
1945-09-30,,Explosive activity,5,"Activity continues, ash columns 20-30000 ft","Johnston 1997, Letter to Dir. NZGS"
1945-10-01,,Explosive activity,5,Activity continues stronger,Johnston 1997
1945-10-03,,Explosive activity,5,"Activity continues stronger, ash columns to 30000 ft",Johnston 1997
1945-10-06,,Explosive activity,5,"Activity continues, buildings shaken by airwaves",Johnston 1997
1945-10-07,,Explosive activity,5,"Activity continues, lightning in ash columns",Johnston 1997
1945-10-08,,Explosive activity,5,Activity continues,Johnston 1997
1945-10-09,,Explosive activity,5,"Activity continues, blocks landing on Whakapapa Glacier",Johnston 1997
1945-10-10,,Explosive activity,5,Stronger activity continues,Johnston 1997
1945-10-11,,Explosive activity,5,Stronger activity continues,Johnston 1997
1945-10-12,,Explosive activity,5,Stronger activity continues,Johnston 1997
1945-10-14,,Explosive activity,4,"Activity continues, blocks to 2-300 ft, ash columns to 7000 ft",Johnston 1997
1945-10-15,,Explosive activity,4,Activity declines,Johnston 1997
1945-10-16,,Explosive activity,4,"Activity declines, less ash fall",Johnston 1997
1945-10-17,,Explosive activity,4,"Activity continues, ash laden steam",Johnston 1997
1945-10-20,,Explosive activity,4,"Activity continues, explosive ash columns","Johnston 1997, Wanganui Herald 22.10.1945"
1945-10-21,,Explosive activity,4,Activity continues strong events,Johnston 1997
1945-10-23,,Explosive activity,4,Activity continues strong explosions,Johnston 1997
1945-10-24,,Explosive activity,4,"Activity continues, explosions rattle windows","Johnston 1997, NZ herald 25.10.1945"
1945-11-02,,Explosive activity,4,"Activity declined, ash falls continue",Johnston 1997
1945-11-03,,Explosive activity,4,"Activity declined, ash falls continue",Johnston 1997
1945-11-04,,Explosive activity,4,Activity declined explosions,Johnston 1997
1945-11-05,,Explosive activity,4,"Activity declined, vents larger",Johnston 1997
1945-11-06,,Explosive activity,4,"Activity declined, incandesence",Johnston 1997
1945-11-07,,Explosive activity,4,Activity increased,Johnston 1997
1945-11-12,,Explosive activity,4,Explosions heard in Taupo,Johnston 1997
1945-11-13,,Explosive activity,4,"Explosions, incandesence",Johnston 1997
1945-11-15,,Explosive activity,4,"Explosions, incandesence",Johnston 1997
1945-11-16,,Explosive activity,4,Activity continues,Johnston 1997
1945-11-18,,Explosive activity,4,"Explosions, ash cloumns",Johnston 1997
1945-11-20,,Explosive activity,4,Explosions ashfalls,Johnston 1997
1945-11-21,,Explosive activity,4,Explosions ashfalls,Johnston 1997
1945-11-23,,Explosive activity,4,Explosions asfalls,Johnston 1997
1945-11-24,,Explosive activity,4,Explosions ashfalls,Johnston 1997
1945-12-01,,Explosive activity,4,Explosions ashfalls,Johnston 1997
1945-12-06,,Weaker explosive activity,3,"Weaker activity, less ash falls",Johnston 1997
1945-12-10,,Weaker explosive activity,3,"Weaker activity, less ash falls",Johnston 1997
1945-12-18,,Weaker explosive activity,3,"Weaker activity, less ash, reports of ‘spring’ in crater",Johnston 1997
1945-12-21,,Weaker explosive activity,3,"Weaker activity, less ash ",Johnston 1997
1945-12-22,,Weaker explosive activity,3,"Weaker activity, less ash ",Johnston 1997
1945-12-23,,Weaker explosive activity,3,"Weaker activity, less ash ",Johnston 1997
1945-12-24,,Weaker explosive activity,3,"Weaker activity, less ash ",Johnston 1997
1945-12-31,,Weaker activity,3,"Weaker activity, indications of a lakelet","Johnston 1997, RUA 47/01"
1946-04-17,,Ash eruption(s),3,Snow discoloured by ashfall,"Taranaki Daily 18.4.1946, Wanganui Herald 18.4.1946"
1946-05-31,,Small explosion through lakelet,2,Observation from Healy,RUA 47/01
1946-06-15,1946 June,Ash eruption(s),2,Newspapers suggest mild activity during last 2 months producing ash and ashfall,Manawatu Daily 15.6.1946
1946-07-06,,Weak geysering in new lake,2,Observation from Healy,RUA 47/01
1947-02-17,,Steam eruption,3,Discoloured snow observed,NZ Herald 19.2.1947
1947-03-15,,Ash eruption,4,Ash and steam columns 5-7000 ft,"Evening Post 17.3.1947, NZ Herald 17.3.1947"
1947-03-16,,Ash eruption,4,Ash and steam columns  5-7000 ft,"Evening Post 17.3.1947, NZ Herald 17.3.1947"
1947-04-27,,Ash eruption(s),4,"Steam and ash columns c. 10,000 ft",Dominion 30.4.1946
1947-04-28,,Ash eruption(s),4,"Steam and ash columns c. 10,000 ft",Dominion 30.4.1946
1947-05-31,,Ash eruption (s),5,"Steam and ash columns 1500 -12,000 ft, ashfall",Taranaki Herald 2.6.1947
1948-01-23,,Steam column,4,Steam column 4-5000 ft,NZ Herald 24.1.1948
1948-02-06,,Steam columns,4,"Several columns seen, to less than 3000 ft",NZ Herald 9.2.1948
1948-02-07,,Steam columns,4,"Several columns seen, to less than 3000 ft",NZ Herald 9.2.1948
1948-02-08,,Steam columns,4,"Several columns seen, to less than 3000 ft",NZ Herald 9.2.1948
1948-02-10,,Steam columns,3,"Several columns seen, reports from Taupo",NZ Herald 11.2.1948
1948-05-01,,Explosive eruption,4,Photo and comments in Allen 1948,Allen 1948
1950-06-24,1950 June 24 or 25,Eruption from lake,3,"Northern side black with ash on the snow, reports from climbers","Gregg 1960, NZ Herald 26.6.1950"
1951-03-19,,Steam eruption from lake,3,Similar to June 1950,"Healy 1956, Evening Post 19.3.1951"
1952-07-15,1952 July,Steam eruption,2,Phreatic eruption observed by climbers,Thompson 1954
1954-10-07,,Steam columns observed,1,Reports of surging and steam columns,"Christchurch Star Times 7.10.1954, "
1954-10-08,,Steam columns ,1,Reports of surging and steam columns,Rotorua Post 8.10.1954
1954-10-11,,Steam columns ,1,Reports of surging and steam columns,The Press 11.10.1954
1954-10-13,,Steam columns ,1,Reports of surging and steam columns,NZ Herald 13.10.1954
1956-10-23,,Steam columns observed,1,Newspaper report from climbs,NZ Herald 23.10.1956
1956-11-18,,Small phreatic/phreatomagmatic eruption,3,"Blackened snow about the lake, no evidence noted by EF Lloyd in December.",NZ Herald 20.11.1956
1959-05-21,,Small phreatic/phreatomagmatic eruption,3,Steam columns and minor ash,"The Daily Post 21.5.1959, NZ Herald 22.5.1959"
1959-06-02,,small phreatic/phreatomagmatic eruption,3,Steam columns and minor ash,"NZ Herald 3.6.1959, The Daily Post 3.6.1959, RUA 59/04"
1959-06-09,,Steam eruption,3,Steam columns and minor ash,NZ Herald 10.6.1959
1959-07-15,1959 July,Steam eruption with some ash (?),3,Possible report of ash,RUA 59/04
1959-08-23,,Steam eruption,3,Steam column observed from Orakeikorako (EFL),RUA 59/04
1964-04-20,1964 April 20-22? ,Report of high water levels in Wangaehu River,3,"Local farmer reports water level rises of 7 feet, about 6 weeks before May 31. Seismic activity started at same time.",NZ Herald 28.5.1964
1964-04-21,1964 April 20-22? ,Report of high water levels in Wangaehu River,3,"Local farmer reports water level rises of 7 feet, about 6 weeks before May 31. Seismic activity started at same time.",NZ Herald 28.5.1964
1964-04-21,1964 April 20-22? ,Report of high water levels in Wangaehu River,3,"Local farmer reports water level rises of 7 feet, about 6 weeks before May 31. Seismic activity started at same time.",NZ Herald 28.5.1964
1964-05-19,,Crater Lake steaming,1,Steam columns and volcanic tremor recorded. Temperature increased to 50° C,"RUA 64/01, Press 19.5.1964"
1964-06-01,,Crater Lake steaming,1,Steam column to 3000 ft,NZ Herald .6.1964
1964-06-02,,Crater Lake steaming,1,Steam columns,NZ Herald 2.6.1964
1964-06-19,,Crater Lake steaming,1,Steam columns over 3000 ft,NZ Herald 29.6.1964
1966-03-22,,Steam column observed,1,"Lake was heating in March, steam reported often",RUA 66/09; NZ Herald 22.3.1966
1966-04-04,,Steam eruption,2,Event inferred as pH in Whangaehu had dropped,RUA 66/09
1966-07-24,,Small phreatomagmatic eruption,2,"Some mud about shore, expanded lava fragments",RUA 66/02
1966-08-02,,Small phreatomagmatic eruption,2,Fresh pumice bombs,RUA 66/03 and RUA 66/04
1966-08-11,,Small phreatomagmatic eruption(s),2,"Confined to basin, two eruptions observed",RUA 66/04
1966-08-19,,Small phreatomagmatic eruption(s),2,"Four eruptions observed, muddy water ejected",RUA 66/05
1966-08-22,,Small phreatic eruption,2,Geyser like eruptions,RUA 66/07
1966-09-27,,Small geyser-like events in lake,2,"Two events observed, confined to lake",RUA 66/10
1966-09-29,,Small geyser-like event,1,Small event observed,RUA 70/11
1966-10-18,,Small geyser-like event,1,Small event observed,RUA 66/11
1966-10-24,,Steam columns observed,1,Sketch’s of steam columns,RUA 66/12
1967-07-22,1967 July 22 – 30,Small geyser-like eruptions,1,"Geyser-like events observed, lake edge snow cut back.",RUA 76/06
1967-07-23,1967 July 22 – 30,Small geyser-like eruptions,1,"Geyser-like events observed, lake edge snow cut back.",RUA 76/06
1967-07-24,1967 July 22 – 30,Small geyser-like eruptions,1,"Geyser-like events observed, lake edge snow cut back.",RUA 76/06
1967-07-25,1967 July 22 – 30,Small geyser-like eruptions,1,"Geyser-like events observed, lake edge snow cut back.",RUA 76/06
1967-07-26,1967 July 22 – 30,Small geyser-like eruptions,1,"Geyser-like events observed, lake edge snow cut back.",RUA 76/06
1967-07-27,1967 July 22 – 30,Small geyser-like eruptions,1,"Geyser-like events observed, lake edge snow cut back.",RUA 76/06
1967-07-28,1967 July 22 – 30,Small geyser-like eruptions,1,"Geyser-like events observed, lake edge snow cut back.",RUA 76/06
1967-07-29,1967 July 22 – 30,Small geyser-like eruptions,1,"Geyser-like events observed, lake edge snow cut back.",RUA 76/06
1967-07-30,1967 July 22 – 30,Small geyser-like eruptions,1,"Geyser-like events observed, lake edge snow cut back.",RUA 76/06
