Date LocalTime,Date Comment,Location,Activity Description,Certainty,References
1945-07-29,29 July 1945,Ketetahi,"White steam and black smoke were noted, however a retrospective investigation showed no sign of eruptions",Discounted,"Evening Post 30.7.1945, 9.8.1945"
1959-05-05,5 May 1959,Upper Te Maari,"Steam columns at 0905 and 1225h, blue tinge noted in the evening",Eruptions unlikely,Letter from Mr DP Cooney (GNS Science file T19/500)
1959-06-01,1 June 1959,Upper Te Maari,Dense blue vapour erupted or emitted,Eruptions unlikely,NZ Herald 3.6.1959
1966-06-15,June 1966,Te Maari,"Unusual hydrothermal activity, steam",,Letter from Lands and Survey 18.6.1966 (T19/500 Tongariro)
1966-06-15,June 1966,Ketetahi,"Unusual hydrothermal activity, steam",,Letter from Lands and Survey 18.6.1966 (T19/500 Tongariro)
1967-02-15,February 1967,Ketetahi,"Unusual hydrothermal activity at Ketetahi, increased temperatures",,Letter from Lands and Survey 14.2.1967 (T19/500 Tongariro)
1967-09-23,23 September 1967,Te Maari,Unusual steaming,,Letter from Lands and Survey 18.6.1966 (T19/500 Tongariro)
1971-09-15,September 1971,Te Maari,Increased steaming,,Evening Post 29.9.1971
2000-01-15,2000,Te Maari,"Earthquake activity, tornillo type events start Jan. 2000",,Hagerty and Benities (2003)
2001-07-01,2001,Te Maari,"Earthquake activity, tornillo type events start Jan. 2000",,Hagerty and Benities (2003)
2002-07-01,2002,Te Maari,"Earthquake activity, tornillo type events start Jan. 2000",,Hagerty and Benities (2003)
2003-07-01,2003,Te Maari,"Earthquake activity, tornillo type events start Jan. 2000",,Hagerty and Benities (2003)
2004-07-01,2004,Te Maari,"Earthquake activity, tornillo type events start Jan. 2000",,Hagerty and Benities (2003)
2005-07-01,2005,Te Maari,"Earthquake activity, tornillo type events start Jan. 2000",,Hagerty and Benities (2003)
2006-07-01,2006,Te Maari,"Earthquake activity, tornillo type events start Jan. 2000",,Hagerty and Benities (2003)
2007-07-01,2007,Te Maari,"Earthquake activity, tornillo type events start Jan. 2000",,Hagerty and Benities (2003)
2008-07-01,2008,Te Maari,"Earthquake activity, tornillo type events start Jan. 2000",,Hagerty and Benities (2003)
2009-07-01,2009,Te Maari,"Earthquake activity, tornillo type events start Jan. 2000",,Hagerty and Benities (2003)
2010-07-01,2010,Te Maari,"Earthquake activity, tornillo type events start Jan. 2000",,Hagerty and Benities (2003)
2011-07-01,2011,Te Maari,"Earthquake activity, tornillo type events start Jan. 2000",,Hagerty and Benities (2003)
2012-07-01,2012,Te Maari,"Earthquake activity, tornillo type events start Jan. 2000",,Hagerty and Benities (2003)
2012-07-15,July 2012,Te Maari,"Earthquake activity, changes in gas emisions",,Christenson et al.(2013)
2012-08-06,6 August 2012,Upper Te Maari,"Eruption, ash column over 9 km high, ashfall, PDC’s, lightning",Confirmed,Jolly et al. (2012)
2012-11-21,21 November 2012,Upper Te Maari,Small ash eruption,Confirmed,Volcanic Alert Bulletin TONG-2012/26
